"","Constituency","Elected MP","Elected Party","Previous MP","Previous Party","Region"
"1","Ahanta West","George Kwame Aboagye","NDC","Samuel Johnfiah","NPP","Western"
"2","Amenfi Central","George Kofi Arthur","NDC","George Kofi Arthur","NDC","Western"
"3","Amenfi East","Akwasi Opong-Fosu","NDC","Joseph Baiden Aidoo","NPP","Western"
"4","Amenfi West","Thomas Charlie Brown","NDC","John Gyetuah","NDC","Western"
"5","Aowin","Mathias Kwame Ntow","NDC","Mathias Kwame Ntow","NDC","Western"
"6","Bia East","Richard Acheampong","NDC","New constituency","","Western"
"7","Bia West","Michael Coffie Boampong","NDC","New constituency","","Western"
"8","Bibiani-Anhwiaso-Bekwai","Kingsley Aboagye-Gyedu","NPP","Christopher Addae","NPP","Western"
"9","Bodi","Ahi Sampson","NDC","New constituency","","Western"
"10","Effia","Joseph Cudjoe","NPP","New constituency","","Western"
"11","Ellembelle","Emmanuel Armah-Kofi Buah","NDC","Emmanuel Armah-Kofi Buah","NDC","Western"
"12","Essikado-Ketan","Joe GharteySecond Deputy Speaker[9]","NPP","Joe Ghartey","NPP","Western"
"13","Evalue-Ajomoro-Gwira","Kweku Tanikyi Kessie","NDC","New constituency","","Western"
"14","Jomoro","Francis Kabenlah Anaman","NDC","Samia Nkrumah","CPP","Western"
"15","Juabeso","Kwabena Mintah Akandoh","NDC","Sampson Ahi","NDC","Western"
"16","Kwesimintsim","Joe Baidoo-Ansah","NPP","Joe Baidoo-Ansah","NPP","Western"
"17","Mpohor","Alex Kofi Agyekum","NPP","New constituency","","Western"
"18","Prestea-Huni Valley","Francis Adu-Blay Koffie","NDC","Francis Adu-Blay Koffie","NDC","Western"
"19","Sefwi-Akontombra","Herod Cobbina","NDC","Herod Cobbina","NDC","Western"
"20","Sefwi-Wiawso","Paul Evans Aidoo","NDC","Paul Evans Aidoo","NDC","Western"
"21","Sekondi","Papa Owusu-Ankomah","NPP","Papa Owusu-Ankomah","NPP","Western"
"22","Shama","Gabriel Kodwo Essilfie","NDC","Gabriel Kodwo Essilfie","NDC","Western"
"23","Suaman","Stephen Michael Essuah Kofi Ackah","NDC","Stephen Michael Essuah Kofi Ackah","NDC","Western"
"24","Takoradi","Kwabena Okyere Darko-Mensah","NPP","Kwabena Okyere Darko-Mensah","NPP","Western"
"25","Tarkwa-Nsuaem","Gifty Eugenia Kusi","NPP","Gifty Eugenia Kusi","NPP","Western"
"26","Wassa East","Isaac Adjei Mensah","NDC","New constituency","","Western"
"27","Adansi-Akrofuom(formerly Akrofuom)","Kwabena Appiah-Pinkrah","NPP","Kwabena Appiah-Pinkrah","NPP","Ashanti"
"28","Adansi-Asokwa","Kobina Tahir Hammond","NPP","Kobina Tahir Hammond","NPP","Ashanti"
"29","Afigya Kwabre North","Nana Marfo Amaniampong","NPP","New constituency","","Ashanti"
"30","Afigya Kwabre South","William Owuraku Aidoo","NPP","New constituency","","Ashanti"
"31","Afigya Sekyere East","David Hennric Yeboah","NPP","Hennric David Yeboah","NPP","Ashanti"
"32","Ahafo Ano North","Adusei Kwasi","NDC","Richard Akuoko Adiyiah","NPP","Ashanti"
"33","Ahafo Ano South East(New constituency)","Francis Manu-Adabor","NPP","New constituency","","Ashanti"
"34","Ahafo Ano South West","Johnson Kweku Adu","NPP","formerly Ahafo Ano South","","Ashanti"
"35","Asante-Akim Central","Kwame Anyimadu - Antwi","NPP","New constituency","","Ashanti"
"36","Asante-Akim North","Kwadwo Baah Agyemang","NPP","Kwame Anyimadu Antwi","NPP","Ashanti"
"37","Asante-Akim South","Kwaku Asante - Boateng","NPP","Gifty Ohene Konadu","NPP","Ashanti"
"38","Asawase","Alhaji Muntaka Mohammed Mabarak","NDC","Alhaji Muntaka Mohammed Mabarak","NDC","Ashanti"
"39","Asokwa","Patricia Appiagyei","NPP","Maxwell Kofi Jumah","NPP","Ashanti"
"40","Atwima-Kwanwoma","Dr. Kojo Appiah-Kubi","NPP","Dr. Kojo Appiah-Kubi","NPP","Ashanti"
"41","Atwima-Mponua","Isaac Kwame Asiamah","NPP","Isaac Kwame Asiamah","NPP","Ashanti"
"42","Atwima-Nwabiagya North","Benito Owusu Bio","NPP","Benito Owusu Bio","NPP","Ashanti"
"43","Atwima-Nwabiagya South","Anthony Osei Boakye","NPP","New constituency","","Ashanti"
"44","Bantama","Henry Kwabena Kokofu","NPP","Cecilia Abena Dapaah","NPP","Ashanti"
"45","Bekwai","Joseph Osei-Owusu","NPP","Joseph Osei-Owusu","Independent","Ashanti"
"46","Bosome-Freho","Kwadwo Kyei Frimpong","NPP","Nana Yaw Edward Ofori-Kuragu","Independent","Ashanti"
"47","Bosomtwe","Simon Osei Mensah","NPP","Simon Osei Mensah","NPP","Ashanti"
"48","Effiduase-Asokore","Frank Boakye Adjei","NPP","Frank Boakye Adjei","NPP","Ashanti"
"49","Ejisu","Kwabena Owusaduomi","NPP","","","Ashanti"
"50","Ejura-Sekyedumase","Mohammed Salisu Bamba","NPP","Alhaji Issifu Pangabu Mohammed","NDC","Ashanti"
"51","Fomena","Atta Boafo Daniel Kingsley","NPP","Nana Abu Bonsra","NPP","Ashanti"
"52","Juaben(New constituency)","Ama Pomaa Andoh","NPP","New constituency","","Ashanti"
"53","Kumawu","Philip Basoah","NPP","Yaw Baah","NPP","Ashanti"
"54","Kwabre East","Kofi Frimpong","NPP","Kofi Frimpong","NPP","Ashanti"
"55","Kwadaso","Owusu Afriyie Akoto","NPP","Owusu Afriyie Akoto","NPP","Ashanti"
"56","Mampong","Francis Addai-Nimoh","NPP","Francis Addai-Nimoh","NPP","Ashanti"
"57","Manhyia North(New constituency)","Collins Owusu Amankwah","NPP","New constituency","","Ashanti"
"58","Manhyia South","Mathew Opoku Prempeh","NPP","Mathew Opoku PrempehManhyia","NPP","Ashanti"
"59","Manso-Adubia(New constituency)","Yaw Frimpong Addo","NPP","New constituency","","Ashanti"
"60","Manso-Nkwanta","Grace Addo","NPP","New constituency","","Ashanti"
"61","New Edubease","Ernest Kofi Yakah","NDC","Ernest Kofi Yakah","NDC","Ashanti"
"62","Nhyiaeso","Richard Winfred Anane","NPP","Richard Winfred Anane","NPP","Ashanti"
"63","Nsuta-Kwamang-Beposo","Kwame Asafu-Adjei","NPP","Kwame Osei Prempeh","NPP","Ashanti"
"64","Obuasi East(New constituency)","Edward Michael Ennin","NPP","Edward Michael Ennin","NPP","Ashanti"
"65","Obuasi West","Kwaku Agyeman Kwarteng","NPP","New constituency","","Ashanti"
"66","Odotobri","Emmanuel Akwasi Gyamfi","NPP","Emmanuel Akwasi Gyamfi","NPP","Ashanti"
"67","Offinso North","Ntim Augustine Collins","NPP","A. C. Ntim","NPP","Ashanti"
"68","Offinso South","Ben Abdallah Banda","NPP","Ben Abdallah Banda","NPP","Ashanti"
"69","Oforikrom","Elizabeth Agyeman","NPP","Elizabeth Agyeman","NPP","Ashanti"
"70","Old Tafo","Dr Anthony Akoto Osei","NPP","Dr Anthony Akoto Osei","NPP","Ashanti"
"71","Sekyere Afram Plain(New constituency)","Alex Adomako-Mensah","NDC","New constituency","","Ashanti"
"72","Suame","Osei Kyei Mensah Bonsu","NPP","Osei Kyei Mensah Bonsu","NPP","Ashanti"
"73","Subin","Isaac Osei","NPP","Isaac Osei","NPP","Ashanti"
"74","Asunafo North","Robert Sarfo-Mensah","NPP","Robert Sarfo-Mensah","NPP","Brong Ahafo"
"75","Asunafo South","Eric Opoku","NDC","George Boakye","NPP","Brong Ahafo"
"76","Asutifi North","Benhazin Joseph Dahah","NPP","Paul Okoh","NPP","Brong Ahafo"
"77","Asutifi South","Collins Dauda","NDC","Collins Dauda","NDC","Brong Ahafo"
"78","Atebubu-Amantin","Sanja Nanja","NDC","Emmanuel Owusu Manu","NDC","Brong Ahafo"
"79","Banda","Ahmed Ibrahim","NDC","New constituency","","Brong Ahafo"
"80","Berekum East","Kwabena Twum-Nuamah","NPP","New constituency","","Brong Ahafo"
"81","Berekum West","Kwaku Agyenim-Boateng","NPP","Kwaku Agyenim-Boateng","NPP","Brong Ahafo"
"82","Dormaa Central","Kwaku Agyeman-Manu","NPP","New constituency","","Brong Ahafo"
"83","Dormaa East","William Kwasi Sabi","NPP","Yaw Ntow Ababio","NPP","Brong Ahafo"
"84","Dormaa West","Vincent Oppong Asamoah","NDC","Kwaku Agyemang Manu","NPP","Brong Ahafo"
"85","Jaman North","Siaka Stevens","NPP","Alexander Asum-Ahensah","NDC","Brong Ahafo"
"86","Jaman South","Yaw Afful","NPP","Afful Yaw Maama","NPP","Brong Ahafo"
"87","Kintampo North","Stephen Kunsu","NDC","Stephen Kunsu","NDC","Brong Ahafo"
"88","Kintampo South","Yaw Effah-Baafi","NDC","Yaw Effah-Baafi","NDC","Brong Ahafo"
"89","Nkoranza North","Major Derek Oduro","NPP","Major Derek Oduro","NPP","Brong Ahafo"
