"","Constituency","Elected MP","Elected Party","Previous MP","Previous Party","Region"
"90","Nkoranza South","Emmanuel Kwadwo Agyekum","NDC","Kwame Ampofo Twumasi","NPP","Brong Ahafo"
"91","Pru East","Kwabena Donkor","NDC","","","Brong Ahafo"
"92","Pru West","Masawud Mohammed","NDC","New constituency","","Brong Ahafo"
"93","Sene East","Dominic Napare","NDC","New constituency","","Brong Ahafo"
"94","Sene West","Kwame Twumasi Ampofo","NDC","","","Brong Ahafo"
"95","Sunyani East","Kwasi Ameyaw-Cheremeh","NPP","Kwasi Ameyaw Cheremeh","NPP","Brong Ahafo"
"96","Sunyani West","Ignatius Baffour Awuah","NPP","Ignatius Baffour Awuah","NPP","Brong Ahafo"
"97","Tain","Kwasi Agyemang Gyan-Tutu","NDC","Ahmed Ibrahim","NDC","Brong Ahafo"
"98","Tano North","Freda Prempeh","NPP","Ernest Akobuor Debrah","NPP","Brong Ahafo"
"99","Tano South","Hanna Louisa Bisiw","NDC","Andrews Adjei-Yeboah","NPP","Brong Ahafo"
"100","Techiman North","Alex Kyeremeh","NDC","Christopher Ameyaw Akumfi","NPP","Brong Ahafo"
"101","Techiman South","Adjei Mensah","NDC","Simons Addai","NDC","Brong Ahafo"
"102","Wenchi","George Yaw Gyan-Baffour","NPP","George Yaw Gyan-Baffuor","NPP","Brong Ahafo"
"103","Abura-Asebu-Kwamankese","Anthony Christian Dadzie","NDC","Anthony Christian Dadzie","NDC","Central"
"104","Agona East","Queenstar Pokua Sawyerr","NDC","John Agyabeng","NPP","Central"
"105","Agona West","Charles Obeng-Inkoom","NDC","Samuel Kweku Obodai","NPP","Central"
"106","Ajumako-Enyan-Essiam","Cassiel Ato Baah Forson","NDC","Cassiel Ato Baah Forson","NDC","Central"
"107","Asikuma-Odoben-Brakwa","Georgina Nkrumah Aboah","NDC","Paul Collins Appiah-Ofori","NPP","Central"
"108","Assin Central","Kennedy Agyapong","NPP","New constituency","","Central"
"109","Assin North","Ambre Samuel","NDC","Ken Ohene Agyapong","NPP","Central"
"110","Assin South","Dominic Kwaku Fobih","NPP","Dominic Kwaku Fobih","NPP","Central"
"111","Awutu-Senya East","Mavis Hawa Koomson","NPP","New constituency","","Central"
"112","Awutu-Senya West","Hanna Serwaa Tetteh","NDC","Formerly Awutu-Senya","","Central"
"113","Cape Coast North","Ebo Barton - OdroFirst Deputy Speaker[9]","NDC","New constituency","","Central"
"114","Cape Coast South","Rickets Hagan Kweku","NDC","","","Central"
"115","Effutu","Alexander Afenyo-Markin","NPP","Mike Allen Hammah","NDC","Central"
"116","Ekumfi","Abeiku Crentsil","NDC","New constituency","","Central"
"117","Gomoa Central","Rachel Florence Appoh","NDC","New constituency","","Central"
"118","Gomoa East","Ekow Panyin Okyere Eduamoah","NDC","Ekow Panyin Okyere Eduamoah","NDC","Central"
"119","Gomoa West","Francis Kojo Arthur","NDC","Francis Kojo Arthur","NDC","Central"
"120","Hemang Lower Denkyira","Foster Joseph Andoh","NDC","Rev. Benjamin Bimpong Donkor","NPP","Central"
"121","Komenda-Edina-Eguafo-Abirem","Stephen Nana Ato Arthur","NPP","Joseph Samuel Annan","NDC","Central"
"122","Mfantseman","Aquinas Tawia Quansah","NDC","Aquinas Tawia Quansah","NDC","Central"
"123","Twifo-Atii Morkwaa","Samuel Ato Amoah","NDC","Elizabeth Amoah Tetteh","NDC","Central"
"124","Upper Denkyira East","Nana Amoako","NPP","Nana Amoako","NPP","Central"
"125","Upper Denkyira West","Benjamin Kofi Ayeh","NPP","Benjamin Kofi Ayeh","NPP","Central"
"126","Abetifi","Peter Wiafe Pepera","NPP","Peter Wiafe Pepera","NPP","Eastern"
"127","Abirem","Esther Obeng Dapaah","NPP","Esther Obeng Dapaah","NPP","Eastern"
"128","Abuakwa North","Joseph Boakye Danquah Adu[10]","NPP","Samuel Kwadwo Amoako","NPP","Eastern"
"129","Abuakwa South","Samuel Atta Akyea","NPP","Samuel Atta Akyea","NPP","Eastern"
"130","Achiase","Robert Kwasi Amoah","NPP","New constituency","","Eastern"
"131","Afram Plains North","Emmanuel Aboagye Didieye","NDC","Emmanuel Aboakye Didieye","NDC","Eastern"
"132","Afram Plains South","Joseph Appiah Boateng","NDC","Raphael Kofi Ahaligah","NDC","Eastern"
"133","Akim Oda","William Agyapong Quaittoo","NPP","Yaw Owusu-Boateng","NPP","Eastern"
"134","Akim Swedru","Kennedy Osei Nyarko","NPP","Joseph Ampomah Bosompem","NPP","Eastern"
"135","Akropong","William Ofori Boafo","NPP","New constituency","","Eastern"
"136","Akwapim South","Osei Bonsu Amoah","NPP","New constituency","","Eastern"
"137","Akwatia","Baba Jamal Mohammed Ahmed","NDC","Kofi Asare","NPP","Eastern"
"138","Asene-Akroso-Manso","Yaw Owusu-Boateng","NPP","New constituency","","Eastern"
"139","Asuogyaman","Kofi Osei-Ameyaw","NPP","Joses Asare-Akoto","NDC","Eastern"
"140","Atiwa East","Abena Osei Asare","NPP","New constituency","","Eastern"
"141","Atiwa West","Kwesi Amoako Atta","NPP","Kwesi Amoako Atta","NPP","Eastern"
"142","Ayensuano","Ayeh-Paye Samuel","NPP","Ayeh-Paye Samuel","NPP","Eastern"
"143","Fanteakwa North","Kwabena Amankwa Asiamah","NPP","Kwabena Amankwa Asiamah","NPP","Eastern"
"144","Fanteakwa South","Kofi Okyere-Agyekum","NPP","New constituency","","Eastern"
"145","Kade","Ofosu Asamoah","NPP","Ofosu Asamoah","NPP","Eastern"
"146","Lower Manya Krobo","Ebenezer Okletey Terlabi","NDC","Michael Teye Nyuanu","NDC","Eastern"
"147","Lower West Akim","Gifty Klenam","NPP","Gifty Klenam","NPP","Eastern"
"148","Mpraeso","Seth Kwame Acheampong","NPP","Seth Kwame Acheampong","NPP","Eastern"
"149","New Juaben North","Kwasi Boateng Adjei","NPP","Hackman Owusu-Agyeman","NPP","Eastern"
"150","New Juaben South","Mark Assibey-Yeboah","NPP","Beatrice Bernice Boateng","NPP","Eastern"
"151","Nkawkaw","Eric Kwakye Darfour","NPP","Seth Adjei Baah","Independent","Eastern"
"152","Nsawam-Adoagyiri","Frank Annoh Dompreh","NPP","New constituency","","Eastern"
"153","Ofoase-Ayirebi","David Oppong Kusi","NPP","David Oppong Kusi","NPP","Eastern"
"154","Okere","Daniel Botwe","NPP","Daniel Botwe","NPP","Eastern"
"155","Suhum","Frederick Opare-Ansah","NPP","Frederick Opare-Ansah","NPP","Eastern"
"156","Upper Manya Krobo","Jeff Kavianu","NDC","Stephen Amoanor Kwao","NDC","Eastern"
"157","Upper West Akim","Joseph Sam Amankwanor","NDC","Joseph Sam Amankwanor","NDC","Eastern"
"158","Yilo Krobo","Magnus Kofi Amoatey","NDC","Raymond Tawiah","NDC","Eastern"
"159","Ablekuma Central","Theophilus Tetteh Chaie","NDC","Chaie Tettey Theophilus","NDC","Greater Accra"
"160","Ablekuma North","Justice Joe Appiah","NPP","Justice Joe Appiah","NPP","Greater Accra"
"161","Ablekuma South","Frederic Fritz Baffour","NDC","Fritz Baffour","NDC","Greater Accra"
"162","Ablekuma West","Ursula Owusu","NPP","New constituency","","Greater Accra"
"163","Ada","Comfort Doyoe Cudjoe-Ghansah","NDC","Alex Narh Tettey-Enyo","NDC","Greater Accra"
"164","Adenta","Emmanuel Nii Ashie Moore","NDC","Kojo Adu Asare","NDC","Greater Accra"
"165","Amasaman","Emmanuel Nii Okai Laryea","NDC","","","Greater Accra"
"166","Anyaa-Sowutuom","Shirley Ayorkor Botchwey","NPP","New constituency","","Greater Accra"
"167","Ashaiman","Alfred Kwame Agbesi","NDC","Alfred Kwame Agbesi","NDC","Greater Accra"
"168","Ayawaso Central","Henry Quartey","NPP","Sheikh Ibrahim C. Quaye","NPP","Greater Accra"
"169","Ayawaso East","Naser Mahama Toure","NDC","Mustapha Ahmed","NDC","Greater Accra"
"170","Ayawaso North","Mustapha Ahmed","NDC","New constituency","","Greater Accra"
"171","Ayawaso West Wuogon(New constituency)","EMMANUEL KYEREMATENG AGYARKO","NPP","Akosua Frema Osei-Opare","NPP","Greater Accra"
"172","Bortianor-Ngleshie-Amanfro","Bright Edward Kodzo Demordzi","NDC","New constituency","","Greater Accra"
"173","Dade Kotopon","Nii Amasah Namoale","NDC","Nii Amasah Namoale","NDC","Greater Accra"
"174","Dome Kwabenya","Sarah Adwoa Safo","NPP","Aaron Michael Oquaye","NPP","Greater Accra"
"175","Domeabra-Obom","Daoud Anum Yemoh","NPP","Daoud Anum Yemoh","NPP","Greater Accra"
"176","Korle Klottey","Hon. Nii Armah Ashietey","NDC","Hon. Nii Armah Ashietey","NDC","Greater Accra"
"177","Kpone-Katamanso","Hon. Joseph Nii Laryea Afotey Agbo","NDC","Hon. Joseph Nii Laryea Afotey Agbo","NDC","Greater Accra"
"178","Krowor","Nii Oakley Quaye-Kumah","NDC","Nii Oakley Quaye-Kumah","NDC","Greater Accra"
"179","Ledzokuku","Benita Sena Okity-Duah","NDC","Nii Nortey Duah","NDC","Greater Accra"
"180","Madina","Amadu Bukari Sorogho","NDC","Amadu Bukari Sorogho","NDC","Greater Accra"
"181","Ningo-Prampram","Enoch Teye Mensah","NDC","Enoch Teye Mensah","NDC","Greater Accra"
"182","Odododiodoo","Edwin Nii Lantey Vanderpuye","NDC","Jonathan Nii Tackie Komey","NDC","Greater Accra"
"183","Okaikwei Central","Patrick Yaw Boamah","NPP","New constituency","","Greater Accra"
"184","Okaikwei North","Elizabeth Kwatsoe Tawiah Sackey","NPP","Elizabeth Kwatsoe Tawiah Sackey","NPP","Greater Accra"
"185","Okaikwei South","Ahmed Arthur","NPP","Nana Akomea","NPP","Greater Accra"
"186","Sege","Otuteye Christian Corletey","NDC","Alfred Wallace Gbordzor Abayateye","NDC","Greater Accra"
"187","Shai-Osudoku","David Tetteh Assumeng","NDC","David Tetteh Assumeng","NDC","Greater Accra"
"188","Tema Central","Kofi Brako","NPP","New constituency","","Greater Accra"
"189","Tema East","Daniel Titus-Glover","NPP","Samuel Evans Ashong Narh","NPP","Greater Accra"
"190","Tema West","Irene Naa Torshie Addo","NPP","Irene Naa Torshie Addo","NPP","Greater Accra"
"191","Trobu","Moses Anim","NPP","New Constituency","","Greater Accra"
"192","Weija Gbawe","Rosemund Comfort Abrah","NPP","Shirley Ayorkor Botchwey","NPP","Greater Accra"
"193","Bimbilla","Dominc Aduna Bingab Nitiwul","NPP","Dominc Aduna Bingab Nitiwul","NPP","Northern"
"194","Bole Bamboi","Joseph Akati Saaka","NDC","Joseph Akati Saaka","NDC","Northern"
"195","Bunkpurugu","Solomon Namliit Boar","NPP","Duut Emmanuel Kwame","NDC","Northern"
"196","Chereponi","Azumah Namoro Sanda","NPP","Samuel Abdulai Jabanyite","NDC","Northern"
"197","Daboya-Mankarigu","Tika Samuel Yeyu","NPP","New constituency","","Northern"
"198","Damango","Adam Mutawakilu","NDC","New constituencyFormerly ","","Northern"
"199","Gushiegu","Thomas Kwesi Nassan","NDC","Kwesi Thomas Nassan","NDC","Northern"
"200","Karaga","Alhassan Sualihu Dandaawa","NDC","Iddrisu Dawuda","NDC","Northern"
"201","Kpandai","Matthew Nyindam","NPP","Lipkalimor Kwajo Tawiah","NDC","Northern"
"202","Kumbungu","Muhammed Mumuni","NDC","Alhaji Yakubu K. Imoro","NDC","Northern"
"203","Mion","Ahmed Alhassan Yakubu","NDC","Ahmed Alhassan Yakubu","NDC","Northern"
"204","Nalerigu Gambaga","Tia Sugri Alfred","NDC","Tia Alfred Sugri","NDC","Northern"
"205","Nanton","Ibrahim Murtala Muhammed","NDC","Alhaji Abdul-Kareem","NPP","Northern"
"206","Saboba","Bukari Nikpe Joseph","NDC","Bukari Nikpe Joseph","NDC","Northern"
"207","Sagnarigu","Alhassan Bashir Fuseini","NDC","New constituency","","Northern"
"208","Salaga North","Alhassan Mumuni","NDC","New constituency","","Northern"
"209","Salaga South","Ibrahim Dey Abubakari","NDC","Ibrahim Dey Abubakari","NDC","Northern"
"210","Savelugu","Mary Salifu Boforo","NDC","Mary Salifu Boforo","NDC","Northern"
"211","Sawla-Tuna-Kalba","Donald Dari Soditey","NDC","Donald Dari Soditey","NDC","Northern"
"212","Tamale Central","Alhassan Inusah Fuseini","NDC","Alhassan Fuseini Inusah","NDC","Northern"
"213","Tamale North","Alhassan Dahamani","Independent","Alhaji Abubakari Sumani","NDC","Northern"
"214","Tamale South","Haruna Iddrisu","NDC","Haruna Iddrisu","NDC","Northern"
"215","Tatale-Sanguli","James C Yanwube","NPP","New constituency","","Northern"
"216","Tolon","Wahab Suhiyini Wumbei","NPP","Umar Abdul-Razak","NDC","Northern"
"217","Walewale","Sagre Bambangi","NPP","Alidu Iddrisu Zakari","NDC","Northern"
"218","Wulensi","Laliri George Maban","NDC","Alhaji Saani Iddi","Independent","Northern"
"219","Yagaba-Kubori(Walewale West)","Ussif Mustapha","NPP","Abdul-Rauf Tanko Ibrahim","NDC","Northern"
"220","Yapei-Kusawgu","Amadu Seidu","NDC","Seidu Amadu","NDC","Northern"
"221","Yendi","Mohammed Habibu Tijani","NPP","Sulemana Ibn Iddrisu, Jnr","NDC","Northern"
"222","Yunyoo(New constituency)","Naabu Joseph Bipoba","NDC","Duut Emmanuel Kwame","NDC","Northern"
"223","Zabzugu(Formerly Zabzugu-Tatale)","Jabaah John Bennam","NPP","Jabaah John Bennam","NPP","Northern"
"224","Bawku Central","Mahama Ayariga","NDC","Adamu Daramani","NPP","Upper East"
"225","Binduri","Noah Ben Azure","NDC","Stephen Yakubu","NPP","Upper East"
"226","Bolgatanga Central","Emmanuel Opam-brown Akolbire","NDC","Akolbire Emmanuel Opam-Brown","NDC","Upper East"
"227","Bolgatanga East","Dominic Ayine","NDC","New constituency","","Upper East"
"228","Bongo","Albert Abongo","NDC","Albert Abongo","NDC","Upper East"
"229","Builsa North","Jamaes Agalga","NDC","Timothy Awotiirim Ataboadey","NDC","Upper East"
"230","Builsa South","Alhassan Azong","PNC","Alhassan Azong","PNC","Upper East"
"231","Chiana-Paga","Abuga Pele","NDC","Allowe Leo Kabah","NPP","Upper East"
"232","Garu","Dominic Azimbe Azumah","NDC","Dominic Azimbe Azumah","NDC","Upper East"
"233","Nabdam","Boniface Gambila Adagbila","NPP","Moses Aduku Asaga","NDC","Upper East"
"234","Navrongo Central","Mark Owen Woyongo","NDC","Joseph Kofi Adda","NPP","Upper East"
"235","Pusiga","Laadi Ayii Ayamba","NDC","Simon Atingban Akunye","NDC","Upper East"
"236","Talensi","Robert Nachinab Doameng","NPP","John Akologu Tia","NDC","Upper East"
"237","Tempane","David Adakudugu","NDC","New constituency",NA,"Upper East"
"238","Zebilla","Cletus Apul Avoka","NDC","Cletus Apul Avoka","NDC","Upper East"
"239","Daffiama, Bussie, Issa","Puozaa Mathias Asuma","NDC","New constituency","","Upper West"
"240","Jirapa","Paul Derigubah","Independent","Francis Bawaana Dakurah","NDC","Upper West"
"241","Lambussie","Edward K. Dery","NDC","John Duoghr Baloroo","NPP","Upper West"
"242","Lawra","Samson Abu","NDC","Ambrose P. Dery","NPP","Upper West"
"243","Nadowli West","Alban Sumana Kingsford Bagbin","NDC","Alban Sumana Kingsford Bagbin","NDC","Upper West"
"244","Nandom","Benjamin Kunbuor","NDC","New constituency","","Upper West"
"245","Sissala East","Sulemana Alijata","NDC","Alhassan Dubie Halutie","NDC","Upper West"
"246","Sissala West","Amin Amidu Sulemana","NDC","Haruna Bayirga","PNC","Upper West"
"247","Wa Central","Abdul-Rashid Hassan Pelpuo","NDC","Abdul-Rashid Hassan Pelpuo","NDC","Upper West"
"248","Wa East","Ameen Salifu","NDC","Bayon Godfrey Tangu","NPP","Upper West"
"249","Wa West","Joseph Yieleh Chireh","NDC","Joseph Yieleh Chireh","NDC","Upper West"
"250","Adaklu","Kwame Governs Agbodza","NDC","New constituency","","Volta"
"251","Afadjato South","Joseph Zaphenat Amenowode","NDC","New constituency","","Volta"
"252","Agotime-Ziope","Juliana Azumah-Mensah","NDC","New constituency","","Volta"
"253","Akan","Joseph Kwadwo Ofori","Independent","Joseph Kwadwo Ofori","NDC","Volta"
"254","Akatsi North","Peter Nortsu-Kotoe","NDC","New constituency","","Volta"
"255","Akatsi South","Edward Korbly Doe Adjaho[9]","NDC","Edward Korbly Doe Adjaho","NDC","Volta"
"256","Anlo","Clement Kofi Humado","NDC","Clement Kofi Humado","NDC","Volta"
"257","Biakoye","Emmanuel Kwasi Bandua","NDC","Emmanuel Kwasi Bandua","NDC","Volta"
"258","Buem","Henry Ford Kofi Kamel[11]","NDC","Henry Ford Kofi Kamel","NDC","Volta"
"259","Central Tongu","Joe Kwashie Gidisu","NDC","Joe Kwashie Gidisu","NDC","Volta"
"260","Ho Central","Benjamin Komla Kpodo","NDC","George Kofi Nfodjoh","NDC","Volta"
"261","Ho West","Emmanuel Kwasi Bedzra","NDC","Emmanuel Kwasi Bedzra","NDC","Volta"
"262","Hohoe","Mrs Bernice Adiku Heloo","NDC","New constituency","","Volta"
"263","Keta","Richard Quashigah","NDC","Richard Lassey Agbenyefia","NDC","Volta"
"264","Ketu North","James Klutse Avedzi","NDC","James Klutse Avedzi","NDC","Volta"
"265","Ketu South","Kwetey Fifi Fiavi Franklin","NDC","Albert Kwasi Zigah","NDC","Volta"
"266","Kpando","Della Sowah","NDC","New constituency","","Volta"
"267","Krachi East","Wisdom Gidisu","NDC","Wisdom Gidisu","NDC","Volta"
"268","Krachi Nchumuru","John Majisi","NDC","New constituency","","Volta"
"269","Krachi West","Helen Adjoa Ntoso","NDC","Francis Y. Osei Sarfo","NDC","Volta"
"270","Nkwanta North","John Oti Kwabena Bless","NDC","Joseph K. Nayan","NPP","Volta"
"271","Nkwanta South","Gershon Kofi Bediako Gbediame","NDC","Gershon Kofi Bediako Gbediame","NDC","Volta"
"272","North Dayi","George Loh","NDC","Akua Sena Dansua","NDC","Volta"
"273","North Tongu","Samuel Okudzeto Ablakwa","NDC","Charles Hodogbey","NDC","Volta"
"274","South Dayi","Simon Edem Asimah","NDC","Simon Edem Asimah","NDC","Volta"
"275","South Tongu","Kobena Mensah Woyome","NDC","Woyome Kobla Mensah","NDC","Volta"
